Pin Number,Pin Name,Function/Connection
1,PE2,GateDriverStatus_03
2,PE3,GateDriverStatus_04
3,PE4,GateDriverStatus_05
4,PE5,GateDriverStatus_06
5,PE6,GateDriverStatus_07
6,VBAT,3V3
7,PC13,GPOut_Enable_Pin
8,PC14,STM_Enable_Pin
9,PC15,PWM_Alt_Enable
10,PF3,GPInput_02
11,PF4,GPInput_03
12,VSS,GND
13,VDD,3V3
14,PF5,GPInput_04
15,PF7,GPInput_06
16,PF8,GPInput_07
17,PF9,GPInput_08
18,PF10,GPInput_09
19,PF0,HSE_IN
20,PF1,HSE_OUT
21,PG10,NRST
22,PC0,AnalogIn_03
23,PC1,No connection
24,PC2,No connection
25,PC3,No connection
26,PF2,GPInput_01
27,PA0,AnalogIn_01
28,PA1,AnalogIn_02
29,PA2,USART2_TX
30,GND,GND
31,VDD,3V3
32,PA3,USART2_RX
33,PA4,No connection
34,PA5,No connection
35,PA6,No connection
36,PA7,No connection
37,PC4,USART1_TX
38,PC5,USART1_RX
39,PB0,AnalogIn_04
40,PB1,AnalogIn_08
41,PB2,No connection
42,VSSA,GND
43,VREF+,No connection
44,VREF-,No connection
45,VDDA,3.3VA
46,GND,GND
47,VDD,3V3
48,PF11,GPInput_10
49,PF12,GPInput_11
50,PF13,GPInput_12
51,PF14,No connection
52,PF15,Fiber_Enable
53,PE7,GateDriverStatus_08
54,PE8,GateDriverStatus_09
55,PE9,GateDriverStatus_10
56,PE10,GateDriverStatus_11
57,PE11,GateDriverStatus_12
58,PE12,No connection
59,PE13,No connection
60,PE14,No connection
61,PE15,No connection
62,PB10,HR_FAULT_INPUT_PIN
63,GND,GND
64,VDD,3V3
65,PB11,AnalogIn_05
66,PB12,PHASE_W_PIN
67,PB13,PHASE_WN_PIN
68,PB14,AnalogIn_06
69,PB15,AnalogIn_07
70,PD8,GPOut_09
71,PD9,GPOut_10
72,PD10,GPOut_11
73,PD11,GPOut_12
74,PD12,No connection
75,PD13,No connection
76,PD14,No connection
77,PD15,No connection
78,GND,GND
79,VDD,3V3
80,PC6,No connection
81,PC7,No connection
82,PG0,No connection
83,PG1,U_Alt_Pin
84,PG2,UN_Alt_Pin
85,PG3,V_Alt_Pin
86,PG4,VN_Alt_Pin
87,PC8,W_Alt_Pin
88,PC9,WN_Alt_Pin
89,PA8,PHASE_U_PIN
90,PA9,PHASE_UN_PIN
91,PA10,PHASE_V_PIN
92,PA11,PHASE_VN_PIN
93,PA12,No connection
94,GND,GND
95,VDD,VDD
96,PA13,SWDIO
97,PF6,GPINPUT_05
98,PA14,swclk
99,PA15,No connection
100,PC10,USART3_TX
101,PC11,USART3_RX
102,PC12,No connection
103,PG5,No connection
104,PG6,No connection
105,PG7,No connection
106,PG8,No connection
107,PG9,No connection
108,PD0,GPOut_01
109,PD1,GPOut_02
110,GND,GND
111,VDD,3V3
112,PD2,GPOut_03
113,PD3,GPOut_04
114,PD4,GPOut_05
115,PD5,GPOut_06
116,PD6,GPOut_07
117,PD7,GPOut_08
118,PB3,SWO
119,PB4,No connection
120,PB5,No connection
121,PB6,No connection
122,PB7,No connection
123,PB8,BOOT0
124,PB9,No connection
125,PE0,GateDriverStatus_01
126,PE1,GateDriverStatus_02
127,GND,GND
128,VDD,3V3
